TOURNAMENT,CLASS,NAME,WIN_FLG,LOSE_FLG
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,0,1
H1-1,大関,旭富士,1,0
H1-1,大関,旭富士,1,0
H1-1,張出大関,小錦,1,0
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,1,0
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,1,0
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,0,1
H1-1,張出大関,小錦,0,1
H1-1,大関,北天佑,0,1
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,0,1
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,0,1
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,0,1
H1-1,大関,北天佑,0,1
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,1,0
H1-1,大関,北天佑,1,0
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,0,1
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,0,1
H1-1,張出大関,朝潮,0,1
H1-1,張出大関,朝潮,0,1
H1-1,張出大関,朝潮,0,1
H1-1,張出大関,朝潮,0,1
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,1,0
H1-1,張出大関,朝潮,0,1
H1-11,大関,北天佑,1,0
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,1,0
H1-11,大関,北天佑,1,0
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,1,0
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,1,0
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,0,1
H1-11,大関,北天佑,0,1
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,1,0
H1-11,大関,旭富士,0,1
H1-11,大関,旭富士,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,0,1
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-11,張出大関,小錦,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,0,1
H1-3,大関,旭富士,0,1
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,大関,旭富士,1,0
H1-3,張出大関,朝潮,0,1
H1-3,張出大関,朝潮,0,1
H1-3,張出大関,朝潮,0,1
H1-3,張出大関,朝潮,0,1
H1-3,張出大関,朝潮,0,1
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,0,1
H1-3,大関,北天佑,0,1
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,1,0
H1-3,大関,北天佑,0,1
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,0,1
H1-3,張出大関,小錦,0,1
H1-3,張出大関,小錦,0,1
H1-3,張出大関,小錦,1,0
H1-3,張出大関,小錦,0,1
H1-3,張出大関,小錦,0,1
H1-3,張出大関,小錦,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,0,1
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,1,0
H1-5,大関,旭富士,0,1
H1-5,大関,旭富士,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,0,1
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,1,0
H1-5,大関,北天佑,0,1
H1-5,大関,北天佑,0,1
H1-5,大関,北天佑,0,1
H1-5,大関,北天佑,0,1
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,0,1
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,0,1
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,0,1
H1-5,張出大関,小錦,0,1
H1-5,張出大関,小錦,0,1
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,1,0
H1-5,張出大関,小錦,0,1
